Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília
São Paulo,350,3,4,4,-,acept,furnished
Belo Horizonte,92,3,2,2,3,acept,not furnished
Belo Horizonte,125,3,2,0,2,acept,not furnished
Campinas,308,3,4,4,-,acept,not furnished
São Paulo,375,4,5,4,-,acept,not furnished
São Paulo,137,3,4,2,2,acept,not furnished
Belo Horizonte,70,1,1,0,1,acept,not furnished
Belo Horizonte,65,2,2,1,3,acept,not furnished
São Paulo,107,2,2,2,18,acept,furnished
São Paulo,85,2,2,1,13,acept,not furnished
São Paulo,69,2,1,0,4,acept,not furnished
Belo Horizonte,110,3,2,1,2,not acept,not furnished
Porto Alegre,113,3,2,3,4,acept,not furnished
São Paulo,213,4,3,0,3,acept,furnished
São Paulo,140,2,2,2,-,not acept,not furnished
Belo Horizonte,253,3,3,3,4,acept,not furnished
Belo Horizonte,490,4,4,3,-,acept,not furnished
São Paulo,96,4,2,2,-,acept,not furnished
São Paulo,23,1,1,0,25,acept,not furnished
Rio de Janeiro,80,2,2,1,9,not acept,furnished
São Paulo,92,3,2,2,10,acept,not furnished
Rio de Janeiro,25,1,1,0,2,acept,furnished
São Paulo,220,3,2,8,-,acept,not furnished
São Paulo,70,3,1,1,1,acept,not furnished
São Paulo,130,3,2,1,1,not acept,not furnished
Rio de Janeiro,120,3,2,0,5,acept,furnished
São Paulo,208,3,2,1,5,acept,not furnished
Belo Horizonte,70,2,1,2,3,acept,not furnished
São Paulo,160,5,3,3,-,acept,not furnished
Belo Horizonte,214,4,3,3,1,not acept,not furnished
São Paulo,40,1,1,1,3,acept,furnished
Rio de Janeiro,64,2,1,0,6,not acept,not furnished
São Paulo,290,4,5,2,6,acept,not furnished
Porto Alegre,35,1,1,0,-,acept,furnished
São Paulo,138,2,3,2,13,acept,not furnished
Belo Horizonte,78,2,3,2,3,acept,not furnished
Belo Horizonte,92,3,1,1,2,acept,not furnished
Porto Alegre,513,3,2,2,3,acept,furnished
Campinas,58,1,1,1,1,acept,not furnished
São Paulo,51,1,1,1,25,acept,furnished
Belo Horizonte,200,4,5,3,5,not acept,furnished
Porto Alegre,115,1,1,0,4,acept,furnished
Rio de Janeiro,64,2,1,1,1,acept,furnished
Campinas,40,1,1,1,2,not acept,not furnished
Rio de Janeiro,159,3,2,2,12,acept,not furnished
Rio de Janeiro,35,1,1,0,1,acept,furnished
São Paulo,192,3,1,0,-,not acept,not furnished
São Paulo,250,5,5,0,-,acept,not furnished
Campinas,43,1,1,0,5,not acept,not furnished
Belo Horizonte,142,3,3,2,-,acept,not furnished
Belo Horizonte,244,4,3,3,3,acept,not furnished
São Paulo,200,3,2,3,14,acept,furnished
Campinas,55,2,1,1,4,acept,not furnished
São Paulo,108,4,2,0,9,acept,not furnished
São Paulo,120,3,1,0,-,acept,not furnished
São Paulo,44,1,1,1,13,not acept,furnished
Belo Horizonte,50,2,1,1,4,acept,not furnished
São Paulo,87,2,2,2,15,acept,not furnished
São Paulo,88,3,2,2,11,acept,furnished
São Paulo,376,3,3,2,-,acept,not furnished
Porto Alegre,38,1,1,1,8,acept,not furnished
Campinas,45,1,1,1,15,acept,not furnished
Rio de Janeiro,36,1,1,0,4,not acept,furnished
Rio de Janeiro,75,2,1,1,4,acept,furnished
São Paulo,85,2,2,1,6,not acept,furnished
São Paulo,35,1,1,0,-,acept,not furnished
Porto Alegre,58,2,2,2,8,acept,not furnished
São Paulo,90,2,3,1,-,acept,not furnished
Porto Alegre,87,2,1,1,6,acept,furnished
São Paulo,136,3,2,2,8,not acept,furnished
Rio de Janeiro,124,3,2,2,8,not acept,furnished
São Paulo,51,1,1,0,13,acept,furnished
Campinas,90,2,1,0,-,not acept,not furnished
Porto Alegre,270,2,3,1,-,acept,not furnished
Campinas,200,4,3,2,1,acept,not furnished
Porto Alegre,79,3,1,0,10,acept,furnished
São Paulo,40,2,1,1,1,acept,not furnished
São Paulo,300,3,5,4,-,acept,not furnished
São Paulo,44,1,1,0,13,not acept,furnished
São Paulo,130,3,2,2,-,acept,not furnished
São Paulo,180,3,4,3,15,acept,furnished
São Paulo,79,3,2,2,4,not acept,furnished
Belo Horizonte,50,1,1,1,4,not acept,furnished
Campinas,110,3,1,1,-,acept,not furnished
São Paulo,17,1,1,0,1,not acept,furnished
Belo Horizonte,60,2,1,1,8,acept,not furnished
Rio de Janeiro,95,2,2,0,5,acept,not furnished
São Paulo,145,2,2,1,-,acept,not furnished
São Paulo,125,3,4,5,-,acept,not furnished
Rio de Janeiro,70,1,1,1,3,acept,furnished
Rio de Janeiro,90,2,2,1,4,not acept,not furnished
São Paulo,28,1,1,0,6,acept,furnished
Campinas,110,3,3,2,-,acept,not furnished
Belo Horizonte,165,3,3,3,-,acept,not furnished
São Paulo,25,1,1,0,9,acept,furnished
São Paulo,195,4,3,4,7,acept,not furnished
Belo Horizonte,70,3,1,1,3,acept,not furnished
Campinas,50,1,1,0,1,not acept,furnished
São Paulo,44,1,1,0,6,acept,not furnished
Belo Horizonte,245,4,5,2,7,acept,not furnished
São Paulo,46,2,1,0,1,acept,not furnished
Belo Horizonte,70,2,1,1,2,acept,not furnished
Rio de Janeiro,50,1,1,0,1,acept,furnished
Belo Horizonte,40,2,2,1,2,not acept,not furnished
São Paulo,94,3,2,2,17,acept,not furnished
São Paulo,323,3,5,6,-,acept,not furnished
Rio de Janeiro,140,3,2,2,7,acept,furnished
Rio de Janeiro,102,3,2,1,4,acept,not furnished
São Paulo,170,3,2,1,14,not acept,not furnished
Belo Horizonte,250,4,2,2,-,acept,furnished
São Paulo,44,1,1,0,1,not acept,not furnished
São Paulo,54,2,2,1,4,acept,not furnished
Rio de Janeiro,125,4,4,2,8,acept,not furnished
São Paulo,80,3,1,1,8,acept,furnished
São Paulo,150,3,2,4,-,acept,not furnished
Belo Horizonte,50,2,1,1,10,acept,not furnished
São Paulo,270,4,4,4,-,acept,furnished
São Paulo,53,1,1,1,6,not acept,furnished
São Paulo,486,8,4,6,-,acept,not furnished
Belo Horizonte,200,3,1,1,-,acept,not furnished
São Paulo,218,3,3,3,9,acept,furnished
São Paulo,50,1,1,1,-,acept,not furnished
Porto Alegre,112,2,2,2,10,acept,not furnished
Campinas,300,4,5,4,-,acept,not furnished
Belo Horizonte,75,2,1,2,-,acept,not furnished
São Paulo,700,3,3,8,-,acept,furnished
São Paulo,250,2,2,1,-,acept,not furnished
Campinas,50,1,1,0,-,acept,not furnished
Rio de Janeiro,91,2,2,1,14,acept,furnished
Rio de Janeiro,83,2,1,1,4,acept,not furnished
São Paulo,335,4,6,4,2,acept,furnished
São Paulo,520,4,4,3,-,acept,furnished
São Paulo,235,3,2,2,5,acept,furnished
São Paulo,50,1,1,0,3,acept,not furnished
São Paulo,280,5,5,4,13,acept,not furnished
São Paulo,80,1,1,1,2,not acept,not furnished
São Paulo,70,2,2,1,-,acept,not furnished
São Paulo,139,3,2,0,7,acept,not furnished
Belo Horizonte,325,4,3,0,-,acept,not furnished
São Paulo,60,2,1,1,6,acept,not furnished
Porto Alegre,238,4,3,1,5,acept,furnished
São Paulo,50,1,1,0,-,not acept,not furnished
São Paulo,128,3,3,0,9,acept,not furnished
São Paulo,300,3,6,6,-,not acept,not furnished
São Paulo,160,3,3,1,-,acept,not furnished
Belo Horizonte,400,5,5,8,-,acept,not furnished
Rio de Janeiro,62,2,1,0,3,acept,not furnished
São Paulo,300,4,5,2,-,acept,not furnished
São Paulo,300,5,5,4,8,acept,not furnished
Campinas,30,1,1,0,-,not acept,not furnished
Belo Horizonte,155,1,4,0,4,not acept,not furnished
São Paulo,300,3,2,3,-,acept,furnished
São Paulo,37,1,1,1,12,acept,furnished
São Paulo,35,1,1,0,16,not acept,furnished
Porto Alegre,55,1,1,0,1,acept,not furnished
São Paulo,50,1,1,0,1,acept,not furnished
São Paulo,64,2,1,2,10,not acept,furnished
São Paulo,49,2,1,1,5,acept,not furnished
Campinas,87,3,2,1,9,acept,not furnished
São Paulo,250,3,4,2,-,acept,not furnished
São Paulo,72,3,2,1,3,not acept,not furnished
São Paulo,76,3,3,2,1,acept,not furnished
Porto Alegre,163,3,4,2,3,acept,furnished
São Paulo,75,2,1,0,5,acept,furnished
Campinas,89,3,2,1,7,acept,not furnished
São Paulo,93,3,3,2,5,acept,furnished
São Paulo,420,3,6,4,-,not acept,not furnished
Belo Horizonte,640,6,7,5,-,acept,furnished
São Paulo,326,3,4,5,12,acept,furnished
São Paulo,136,3,4,3,4,not acept,not furnished
Porto Alegre,39,1,1,0,2,acept,furnished
Belo Horizonte,70,2,1,1,1,acept,not furnished
São Paulo,480,4,6,5,-,acept,not furnished
São Paulo,50,2,1,0,5,acept,not furnished
São Paulo,180,3,3,5,-,acept,not furnished
Belo Horizonte,100,3,2,2,9,acept,furnished
Belo Horizonte,100,3,2,1,-,acept,furnished
São Paulo,560,5,5,6,-,acept,not furnished
São Paulo,180,5,3,2,-,not acept,not furnished
Rio de Janeiro,44,1,1,0,3,acept,not furnished
São Paulo,18,1,1,1,3,not acept,not furnished
Campinas,154,2,2,1,-,acept,not furnished
São Paulo,80,2,2,1,1,not acept,furnished
Belo Horizonte,308,2,3,3,-,acept,not furnished
São Paulo,150,4,4,1,-,acept,furnished
São Paulo,80,2,2,2,4,acept,not furnished
São Paulo,70,2,1,1,1,acept,not furnished
São Paulo,136,3,2,1,7,acept,furnished
Porto Alegre,55,1,1,1,6,acept,not furnished
Porto Alegre,90,3,2,1,2,acept,furnished
Campinas,48,2,1,1,8,acept,not furnished
São Paulo,224,4,5,3,12,acept,not furnished
Porto Alegre,32,1,1,1,4,acept,not furnished
Rio de Janeiro,60,2,1,1,8,acept,not furnished
Rio de Janeiro,150,3,2,1,12,acept,furnished
São Paulo,260,3,5,3,3,acept,not furnished
São Paulo,42,1,1,0,3,acept,not furnished
Belo Horizonte,320,4,3,3,10,not acept,furnished
Porto Alegre,460,4,4,4,-,acept,not furnished
São Paulo,208,3,3,3,13,acept,not furnished
São Paulo,360,4,5,4,12,acept,not furnished
São Paulo,30,1,1,0,1,not acept,furnished
São Paulo,132,2,2,0,1,acept,furnished
Belo Horizonte,250,6,6,2,-,acept,not furnished
São Paulo,29,1,1,1,10,not acept,furnished
São Paulo,100,1,2,2,-,acept,not furnished
Rio de Janeiro,100,3,2,1,12,acept,not furnished
Porto Alegre,120,3,3,0,7,acept,furnished
Belo Horizonte,390,6,3,2,-,acept,not furnished
São Paulo,80,3,1,0,-,acept,not furnished
São Paulo,140,3,3,1,2,acept,furnished
São Paulo,146,3,2,2,14,acept,furnished
Belo Horizonte,360,4,2,4,-,acept,not furnished
São Paulo,165,3,3,4,9,acept,not furnished
São Paulo,100,3,2,2,-,acept,furnished
São Paulo,80,3,2,2,11,acept,not furnished
São Paulo,29,1,1,0,18,acept,not furnished
Campinas,46,1,1,1,4,not acept,not furnished
São Paulo,110,3,2,2,14,not acept,furnished
São Paulo,300,3,3,3,-,acept,not furnished
São Paulo,62,2,2,3,7,acept,not furnished
São Paulo,150,3,1,0,3,not acept,not furnished
Porto Alegre,92,3,1,0,3,acept,not furnished
Belo Horizonte,50,2,1,1,4,acept,not furnished
São Paulo,220,3,3,3,9,acept,not furnished
Rio de Janeiro,250,4,3,2,6,acept,not furnished
Rio de Janeiro,160,3,2,1,2,acept,not furnished
Rio de Janeiro,110,3,2,1,7,acept,not furnished
São Paulo,120,4,4,4,-,acept,not furnished
Porto Alegre,101,3,2,1,3,acept,not furnished
São Paulo,60,2,1,0,8,not acept,furnished
São Paulo,60,2,1,1,-,not acept,not furnished
São Paulo,330,4,3,0,9,acept,not furnished
São Paulo,350,3,6,4,28,acept,furnished
Rio de Janeiro,26,1,1,0,1,acept,not furnished
São Paulo,110,4,5,3,-,acept,not furnished
São Paulo,233,3,4,4,15,not acept,furnished
Belo Horizonte,441,5,5,8,-,acept,not furnished
Porto Alegre,44,1,1,0,4,acept,furnished
São Paulo,150,3,4,3,-,acept,furnished
São Paulo,50,1,1,0,-,acept,not furnished
Belo Horizonte,136,4,3,1,1,acept,not furnished
São Paulo,455,3,2,4,-,acept,not furnished
Belo Horizonte,160,4,4,3,12,not acept,furnished
São Paulo,58,1,1,2,2,acept,not furnished
Porto Alegre,75,2,1,0,1,acept,not furnished
Rio de Janeiro,160,3,2,1,1,acept,not furnished
São Paulo,310,5,2,2,15,acept,not furnished
São Paulo,180,3,2,2,3,acept,not furnished
São Paulo,207,3,4,3,3,acept,not furnished
São Paulo,91,3,3,3,5,not acept,not furnished
São Paulo,275,4,3,4,5,acept,furnished
São Paulo,265,4,6,3,6,not acept,not furnished
São Paulo,57,1,1,1,4,acept,furnished
Porto Alegre,450,5,5,2,-,acept,not furnished
São Paulo,245,4,5,4,9,acept,not furnished
São Paulo,216,3,4,2,10,acept,not furnished
Campinas,74,3,2,1,4,acept,not furnished
São Paulo,80,2,1,1,6,acept,not furnished
São Paulo,130,3,2,2,6,acept,not furnished
Porto Alegre,56,1,2,1,6,acept,furnished
São Paulo,163,2,3,3,3,acept,not furnished
Porto Alegre,70,2,1,0,8,acept,furnished
Campinas,45,1,1,0,3,acept,not furnished
São Paulo,80,1,2,0,6,not acept,not furnished
São Paulo,80,2,1,0,11,not acept,not furnished
São Paulo,600,3,3,4,-,acept,not furnished
Belo Horizonte,150,3,2,2,3,acept,not furnished
Belo Horizonte,28,1,1,1,-,not acept,furnished
São Paulo,265,3,3,2,-,acept,furnished
Belo Horizonte,100,4,2,2,-,acept,not furnished
Campinas,55,1,1,1,3,not acept,not furnished
Campinas,48,2,1,1,4,acept,not furnished
Rio de Janeiro,82,2,2,0,2,acept,not furnished
Belo Horizonte,140,4,3,3,4,acept,not furnished
Belo Horizonte,360,5,6,4,-,acept,furnished
São Paulo,35,1,1,0,7,acept,not furnished
Porto Alegre,72,2,2,1,2,acept,not furnished
Belo Horizonte,133,3,2,3,1,not acept,not furnished
Porto Alegre,95,3,1,2,2,acept,not furnished
Porto Alegre,27,1,1,0,2,acept,not furnished
São Paulo,30,1,1,1,6,not acept,furnished
Belo Horizonte,350,5,5,3,3,not acept,not furnished
São Paulo,179,3,3,3,12,acept,furnished
Porto Alegre,65,3,2,1,3,acept,not furnished
Rio de Janeiro,150,4,3,2,-,acept,not furnished
São Paulo,35,1,1,0,1,not acept,not furnished
Porto Alegre,47,1,1,1,1,not acept,furnished
Belo Horizonte,360,6,3,4,-,acept,not furnished
São Paulo,115,2,2,1,18,acept,furnished
São Paulo,341,3,3,2,6,acept,not furnished
Porto Alegre,89,2,2,1,2,acept,not furnished
Rio de Janeiro,46,1,1,0,3,acept,not furnished
São Paulo,226,3,4,3,6,acept,not furnished
Rio de Janeiro,32,1,1,0,10,acept,not furnished
São Paulo,115,2,3,2,8,acept,not furnished
Porto Alegre,164,3,3,0,5,acept,not furnished
São Paulo,37,1,1,1,8,acept,furnished
São Paulo,160,3,2,2,-,acept,not furnished
São Paulo,175,4,3,2,-,acept,not furnished
Belo Horizonte,140,3,2,1,11,not acept,furnished
São Paulo,400,4,6,5,-,acept,not furnished
São Paulo,45,1,2,0,1,acept,not furnished
Belo Horizonte,153,4,2,2,1,acept,not furnished
Campinas,56,2,1,1,1,acept,not furnished
São Paulo,383,4,5,6,-,acept,not furnished
São Paulo,146,3,4,2,8,acept,furnished
São Paulo,135,3,2,0,3,acept,not furnished
São Paulo,37,1,1,1,18,not acept,not furnished
São Paulo,238,3,5,3,1,acept,furnished
São Paulo,55,1,1,0,1,acept,not furnished
São Paulo,92,2,2,2,17,acept,furnished
Porto Alegre,215,6,6,6,-,acept,not furnished
Porto Alegre,320,4,4,2,13,acept,furnished
Campinas,64,1,2,1,11,not acept,not furnished
Belo Horizonte,92,2,2,2,16,acept,not furnished
Rio de Janeiro,72,2,1,1,3,acept,not furnished
Rio de Janeiro,65,1,1,0,4,acept,not furnished
Rio de Janeiro,500,5,5,2,11,acept,furnished
São Paulo,131,4,4,2,11,acept,not furnished
São Paulo,70,3,2,2,16,acept,furnished
São Paulo,530,4,6,4,11,acept,not furnished
Belo Horizonte,85,3,3,2,2,not acept,not furnished
São Paulo,20,1,1,0,1,acept,furnished
São Paulo,139,3,4,2,12,not acept,furnished
São Paulo,45,1,1,1,1,not acept,furnished
Belo Horizonte,266,4,3,2,-,acept,not furnished
Belo Horizonte,110,3,2,4,-,acept,not furnished
São Paulo,182,3,4,3,-,acept,not furnished
São Paulo,318,4,6,4,-,not acept,not furnished
São Paulo,380,4,6,1,-,not acept,furnished
Rio de Janeiro,85,2,3,0,1,acept,not furnished
Porto Alegre,62,2,1,0,3,acept,not furnished
Rio de Janeiro,42,1,1,0,8,acept,not furnished
São Paulo,50,2,2,1,10,acept,not furnished
Belo Horizonte,52,2,1,1,3,acept,not furnished
São Paulo,179,4,4,3,8,acept,furnished
Rio de Janeiro,100,2,3,0,12,acept,not furnished
Rio de Janeiro,80,2,2,1,4,acept,not furnished
São Paulo,180,3,1,1,1,acept,not furnished
Porto Alegre,650,4,6,5,-,acept,furnished
Porto Alegre,51,1,1,1,4,acept,not furnished
Campinas,48,2,1,1,1,not acept,furnished
Rio de Janeiro,350,4,4,2,14,acept,furnished
São Paulo,354,5,6,3,-,acept,not furnished
São Paulo,250,4,5,0,6,acept,not furnished
São Paulo,55,2,2,1,2,acept,not furnished
São Paulo,60,2,2,1,7,acept,furnished
São Paulo,350,4,3,4,-,acept,not furnished
Rio de Janeiro,70,3,2,0,1,acept,not furnished
Belo Horizonte,150,4,2,1,-,acept,not furnished
São Paulo,32,1,1,0,5,acept,not furnished
Rio de Janeiro,50,1,1,0,1,not acept,furnished
Belo Horizonte,744,6,6,8,-,acept,furnished
Belo Horizonte,26,1,1,1,1,acept,not furnished
São Paulo,63,2,2,1,1,acept,furnished
São Paulo,60,2,1,0,6,acept,not furnished
São Paulo,120,3,2,1,7,acept,furnished
Rio de Janeiro,47,2,1,1,5,acept,not furnished
Campinas,93,3,2,2,2,acept,not furnished
São Paulo,92,3,2,0,13,acept,not furnished
Porto Alegre,84,3,2,1,8,acept,not furnished
São Paulo,100,2,2,1,-,not acept,not furnished
Campinas,380,4,6,6,-,not acept,not furnished
São Paulo,130,3,2,1,13,acept,not furnished
São Paulo,200,3,3,2,7,not acept,furnished
São Paulo,33,1,1,1,26,not acept,furnished
São Paulo,100,3,1,0,-,acept,not furnished
São Paulo,115,2,1,0,5,acept,not furnished
São Paulo,327,4,4,5,9,acept,furnished
Belo Horizonte,45,2,1,1,1,acept,not furnished
Porto Alegre,124,3,3,1,7,acept,not furnished
São Paulo,64,1,2,1,15,acept,furnished
Belo Horizonte,212,4,2,1,5,acept,furnished
São Paulo,100,2,3,2,4,acept,not furnished
São Paulo,38,1,1,1,3,acept,furnished
São Paulo,330,3,5,5,8,acept,furnished
São Paulo,71,2,1,1,8,acept,not furnished
São Paulo,70,2,2,1,16,not acept,not furnished
São Paulo,220,4,3,3,3,acept,not furnished
São Paulo,128,3,2,2,1,acept,not furnished
São Paulo,35,1,1,1,16,acept,furnished
Porto Alegre,220,4,3,1,-,not acept,furnished
São Paulo,380,4,6,6,11,acept,furnished
São Paulo,43,2,1,1,1,not acept,not furnished
São Paulo,60,1,1,0,1,acept,not furnished
Rio de Janeiro,53,1,1,0,7,acept,not furnished
São Paulo,50,2,1,1,25,acept,furnished
São Paulo,65,2,2,0,6,acept,not furnished
São Paulo,150,3,2,1,-,acept,not furnished
Belo Horizonte,70,3,1,0,4,acept,not furnished
São Paulo,49,1,1,1,7,acept,furnished
São Paulo,30,1,1,0,-,not acept,not furnished
São Paulo,45,1,1,0,7,acept,not furnished
Porto Alegre,260,2,2,1,4,acept,not furnished
Porto Alegre,32,1,1,1,4,acept,not furnished
São Paulo,197,3,4,1,10,acept,not furnished
Rio de Janeiro,500,2,5,5,-,not acept,not furnished
São Paulo,136,3,3,2,5,acept,not furnished
Belo Horizonte,120,4,4,2,6,acept,not furnished
São Paulo,115,3,2,1,9,acept,furnished
São Paulo,130,2,1,1,9,acept,not furnished
São Paulo,87,3,3,2,12,not acept,furnished
São Paulo,95,3,2,0,2,acept,not furnished
Campinas,70,1,2,1,11,not acept,furnished
Rio de Janeiro,87,2,2,1,8,acept,not furnished
Belo Horizonte,50,1,1,0,-,not acept,not furnished
São Paulo,50,1,1,1,1,acept,not furnished
São Paulo,128,3,4,2,8,not acept,furnished
Rio de Janeiro,86,3,2,1,7,acept,furnished
São Paulo,100,3,2,1,4,not acept,furnished
São Paulo,139,4,5,2,6,not acept,not furnished
Campinas,72,2,1,0,2,not acept,not furnished
Belo Horizonte,120,3,3,3,1,acept,not furnished
São Paulo,24,1,1,0,4,not acept,furnished
Campinas,135,2,2,2,2,acept,not furnished
São Paulo,280,3,4,4,6,acept,not furnished
São Paulo,49,1,1,1,18,not acept,furnished
São Paulo,40,1,1,0,18,not acept,furnished
São Paulo,320,3,3,4,-,acept,not furnished
São Paulo,52,1,1,1,8,not acept,not furnished
São Paulo,20,1,1,0,3,not acept,furnished
São Paulo,240,3,3,4,22,acept,not furnished
Porto Alegre,109,3,2,1,7,acept,not furnished
São Paulo,119,3,3,1,8,not acept,furnished
São Paulo,340,4,6,4,8,acept,furnished
São Paulo,790,4,4,2,-,acept,not furnished
São Paulo,35,1,1,0,5,acept,furnished
São Paulo,98,3,3,2,1,acept,furnished
São Paulo,260,4,4,4,24,acept,not furnished
São Paulo,45,2,1,0,3,not acept,not furnished
São Paulo,270,2,2,3,17,acept,not furnished
São Paulo,50,1,1,0,-,acept,not furnished
Rio de Janeiro,30,1,1,1,2,acept,not furnished
São Paulo,45,2,1,1,8,acept,not furnished
São Paulo,150,3,1,2,9,acept,not furnished
Porto Alegre,42,1,1,1,3,acept,not furnished
São Paulo,210,3,4,3,6,acept,not furnished
São Paulo,58,2,1,0,9,acept,furnished
Campinas,76,2,2,2,9,acept,furnished
Porto Alegre,28,1,1,0,2,acept,not furnished
São Paulo,130,2,4,4,5,not acept,not furnished
São Paulo,60,1,1,0,-,not acept,not furnished
São Paulo,54,2,1,1,7,not acept,not furnished
São Paulo,111,3,3,2,-,acept,not furnished
Belo Horizonte,80,2,3,2,5,acept,not furnished
São Paulo,600,6,5,5,-,acept,furnished
Porto Alegre,73,2,1,1,2,acept,not furnished
Rio de Janeiro,80,2,2,1,7,acept,furnished
São Paulo,145,3,3,1,1,acept,not furnished
São Paulo,42,1,1,1,3,acept,not furnished
São Paulo,98,2,1,1,1,acept,not furnished
Porto Alegre,80,3,2,2,4,acept,not furnished
Porto Alegre,367,4,3,2,3,acept,furnished
Porto Alegre,68,2,2,2,9,acept,not furnished
Porto Alegre,90,3,2,1,12,acept,not furnished
Rio de Janeiro,154,4,5,2,3,acept,furnished
Porto Alegre,47,2,1,1,7,acept,not furnished
São Paulo,230,5,3,2,-,acept,furnished
Rio de Janeiro,180,3,3,1,2,acept,not furnished
Rio de Janeiro,120,3,2,1,8,acept,furnished
Belo Horizonte,110,3,2,0,5,acept,not furnished
São Paulo,450,4,6,4,-,acept,not furnished
Belo Horizonte,400,7,6,4,-,acept,furnished
Rio de Janeiro,25,1,1,0,6,not acept,furnished
São Paulo,62,1,2,1,2,acept,furnished
São Paulo,95,2,1,1,15,acept,not furnished
Belo Horizonte,110,3,3,2,3,acept,furnished
Rio de Janeiro,140,3,2,1,3,acept,not furnished
São Paulo,34,1,1,1,1,not acept,furnished
São Paulo,22,1,1,1,7,not acept,furnished
São Paulo,177,3,3,3,4,not acept,not furnished
São Paulo,96,2,1,1,2,acept,not furnished
Campinas,100,2,2,0,-,acept,not furnished
São Paulo,68,2,2,1,6,acept,not furnished
São Paulo,300,3,5,4,-,acept,not furnished
Rio de Janeiro,160,3,2,1,5,acept,not furnished
São Paulo,140,3,2,2,-,acept,not furnished
São Paulo,136,4,2,3,12,acept,not furnished
São Paulo,65,2,2,2,19,not acept,not furnished
Belo Horizonte,200,3,6,4,9,acept,not furnished
Porto Alegre,120,3,3,2,7,acept,furnished
Rio de Janeiro,62,2,1,0,5,acept,not furnished
São Paulo,390,3,3,2,1,not acept,not furnished
São Paulo,67,2,1,0,12,acept,not furnished
São Paulo,52,1,1,1,1,acept,furnished
São Paulo,39,1,1,1,5,acept,not furnished
São Paulo,270,3,3,4,1,acept,not furnished
São Paulo,82,3,2,2,2,acept,not furnished
São Paulo,200,2,4,3,16,acept,not furnished
São Paulo,33,1,1,0,4,acept,not furnished
São Paulo,110,3,2,2,2,acept,not furnished
São Paulo,70,3,1,1,12,acept,not furnished
São Paulo,93,3,3,2,7,acept,furnished
Rio de Janeiro,65,1,1,0,-,acept,not furnished
São Paulo,280,4,5,4,18,not acept,not furnished
Belo Horizonte,130,4,2,2,2,acept,not furnished
São Paulo,100,2,2,1,-,not acept,not furnished
Porto Alegre,40,1,1,0,4,not acept,not furnished
São Paulo,140,3,4,2,1,not acept,furnished
Belo Horizonte,170,4,2,2,2,acept,not furnished
São Paulo,110,2,1,1,10,not acept,not furnished
Belo Horizonte,45,1,1,1,4,acept,furnished
Belo Horizonte,275,5,4,2,-,acept,not furnished
Rio de Janeiro,46,1,1,0,5,acept,furnished
São Paulo,98,2,3,2,8,acept,furnished
São Paulo,120,3,1,4,-,acept,not furnished
São Paulo,180,3,2,1,23,acept,not furnished
São Paulo,250,4,3,3,2,acept,not furnished
Campinas,85,3,2,1,3,not acept,furnished
São Paulo,126,3,4,3,4,acept,not furnished
São Paulo,132,3,4,2,10,acept,not furnished
Porto Alegre,216,3,3,3,-,acept,not furnished
São Paulo,54,2,1,1,3,acept,not furnished
Porto Alegre,160,2,4,2,8,not acept,furnished
São Paulo,62,3,1,1,7,not acept,not furnished
Rio de Janeiro,270,4,3,1,10,not acept,not furnished
São Paulo,145,3,4,3,10,not acept,not furnished
Porto Alegre,63,2,1,0,12,acept,not furnished
Rio de Janeiro,115,2,2,1,5,not acept,furnished
Campinas,51,1,1,0,1,not acept,not furnished
Rio de Janeiro,70,3,1,1,7,acept,not furnished
São Paulo,165,3,4,6,-,acept,furnished
São Paulo,208,4,5,2,2,acept,not furnished
São Paulo,87,3,2,1,4,acept,not furnished
Belo Horizonte,90,3,2,0,2,not acept,not furnished
São Paulo,300,2,4,2,-,acept,furnished
São Paulo,200,3,2,3,-,acept,not furnished
Rio de Janeiro,65,2,1,0,2,not acept,furnished
Belo Horizonte,42,1,1,1,15,not acept,furnished
Porto Alegre,42,1,1,2,2,acept,furnished
Rio de Janeiro,28,1,1,0,5,acept,not furnished
São Paulo,140,2,3,2,2,acept,not furnished
São Paulo,53,2,2,1,10,not acept,furnished
São Paulo,120,3,2,2,-,acept,not furnished
Rio de Janeiro,100,3,2,1,2,acept,not furnished
Porto Alegre,360,3,1,4,-,acept,not furnished
São Paulo,227,4,4,3,6,acept,not furnished
Rio de Janeiro,30,1,1,0,2,acept,furnished
São Paulo,90,2,2,1,-,acept,not furnished
São Paulo,110,4,4,1,-,acept,not furnished
São Paulo,400,3,3,4,-,acept,not furnished
Rio de Janeiro,49,1,1,0,4,acept,furnished
São Paulo,100,3,3,1,-,acept,not furnished
São Paulo,83,3,1,1,3,acept,not furnished
Porto Alegre,40,1,1,0,6,acept,not furnished
São Paulo,311,4,4,4,7,acept,furnished
Belo Horizonte,120,4,2,2,-,acept,not furnished
São Paulo,67,2,1,1,3,acept,not furnished
São Paulo,100,2,2,0,1,acept,not furnished
Belo Horizonte,100,2,1,0,2,not acept,not furnished
São Paulo,301,3,4,4,-,acept,not furnished
Rio de Janeiro,86,3,2,1,9,acept,not furnished
Rio de Janeiro,45,1,1,0,9,not acept,furnished
São Paulo,55,2,1,1,2,not acept,not furnished
Porto Alegre,63,2,1,0,2,acept,not furnished
São Paulo,220,3,4,2,-,acept,furnished
Belo Horizonte,202,3,2,5,-,acept,not furnished
