Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília,Aluguel
São Paulo,67,2,1,1,6,acept,not furnished,1696
Rio de Janeiro,30,1,1,0,5,not acept,not furnished,1697
Campinas,65,2,1,2,2,acept,not furnished,1732
Rio de Janeiro,28,1,1,0,11,not acept,furnished,2735
Belo Horizonte,52,2,1,1,1,acept,not furnished,1174
Porto Alegre,54,2,1,2,2,acept,not furnished,1600
Rio de Janeiro,107,3,2,2,4,acept,not furnished,6882
Rio de Janeiro,106,3,2,1,5,acept,not furnished,6837
Belo Horizonte,222,4,3,4,-,acept,not furnished,3203
São Paulo,233,3,6,5,-,acept,not furnished,6597
São Paulo,190,3,3,2,10,not acept,not furnished,12800
São Paulo,61,1,2,1,14,not acept,not furnished,2486
São Paulo,185,4,4,4,8,acept,not furnished,11140
São Paulo,280,3,2,0,7,acept,not furnished,5756
Rio de Janeiro,57,1,1,1,2,acept,furnished,5792
São Paulo,13,1,1,0,2,acept,not furnished,2270
São Paulo,150,2,3,1,-,acept,not furnished,1675
São Paulo,73,2,2,1,11,acept,not furnished,2116
São Paulo,115,2,1,1,-,acept,not furnished,1911
São Paulo,97,2,3,2,15,acept,not furnished,4353
São Paulo,130,3,2,1,4,not acept,furnished,9521
São Paulo,80,2,1,1,2,acept,not furnished,4440
São Paulo,100,3,2,1,4,not acept,furnished,3756
Porto Alegre,140,3,2,2,-,acept,not furnished,4214
Belo Horizonte,69,2,3,2,11,acept,not furnished,3507
Belo Horizonte,50,2,1,0,-,not acept,not furnished,889
Belo Horizonte,53,3,1,0,4,acept,not furnished,1312
São Paulo,420,4,4,4,19,acept,not furnished,19790
São Paulo,78,2,1,3,-,acept,not furnished,1788
São Paulo,25,1,1,0,1,not acept,not furnished,1251
São Paulo,103,3,3,2,7,not acept,not furnished,7471
Porto Alegre,30,1,1,0,2,acept,furnished,1359
Belo Horizonte,80,2,2,2,9,acept,not furnished,3148
São Paulo,345,3,3,5,2,acept,not furnished,16750
São Paulo,96,2,1,1,4,not acept,not furnished,3839
São Paulo,20,1,1,0,2,acept,furnished,2555
São Paulo,277,3,5,4,-,acept,not furnished,12490
São Paulo,60,2,1,0,-,acept,not furnished,1117
São Paulo,50,2,1,1,-,not acept,not furnished,1506
São Paulo,220,3,2,8,-,acept,not furnished,4664
Rio de Janeiro,93,2,1,1,7,acept,furnished,7088
São Paulo,130,3,2,1,12,acept,not furnished,6159
Porto Alegre,70,2,1,1,2,acept,not furnished,1379
Porto Alegre,76,1,1,0,5,not acept,furnished,2192
Belo Horizonte,140,3,2,0,2,not acept,not furnished,3242
Campinas,47,1,1,1,12,acept,not furnished,2159
Rio de Janeiro,140,4,3,1,8,acept,not furnished,10240
São Paulo,55,1,1,1,14,not acept,furnished,6238
Campinas,276,3,4,3,11,acept,not furnished,10270
São Paulo,45,2,1,1,5,acept,not furnished,1989
São Paulo,220,3,4,3,2,not acept,not furnished,8966
Rio de Janeiro,65,1,1,1,8,acept,furnished,7416
Rio de Janeiro,112,3,2,0,7,acept,not furnished,5566
São Paulo,40,1,1,0,6,acept,not furnished,4267
Porto Alegre,90,4,2,0,-,not acept,not furnished,1883
Porto Alegre,84,3,1,0,3,acept,furnished,1596
Porto Alegre,79,2,1,0,10,acept,not furnished,2375
São Paulo,104,2,2,2,4,not acept,furnished,4104
São Paulo,40,1,1,0,12,not acept,furnished,3786
São Paulo,156,4,4,3,1,acept,furnished,4978
Porto Alegre,69,2,2,2,10,acept,not furnished,3365
Rio de Janeiro,98,3,2,0,5,acept,not furnished,4582
São Paulo,380,4,2,0,-,acept,not furnished,8121
São Paulo,200,3,2,1,2,acept,not furnished,6683
São Paulo,300,3,4,2,9,acept,furnished,17260
São Paulo,400,6,6,8,15,acept,furnished,9140
Rio de Janeiro,90,3,2,1,13,acept,not furnished,3607
São Paulo,127,3,2,2,-,acept,furnished,2470
São Paulo,94,3,2,3,5,acept,not furnished,3398
Porto Alegre,75,2,1,0,9,acept,not furnished,1499
Rio de Janeiro,70,2,1,1,9,acept,not furnished,3288
Rio de Janeiro,65,1,1,0,1,acept,not furnished,2204
São Paulo,330,3,6,5,-,acept,furnished,7207
Belo Horizonte,150,6,5,8,-,acept,not furnished,8757
São Paulo,65,3,2,1,5,acept,not furnished,2664
São Paulo,83,3,1,1,3,acept,not furnished,2712
Campinas,380,3,3,5,-,acept,not furnished,8311
São Paulo,67,2,1,1,4,acept,not furnished,3876
Rio de Janeiro,130,3,2,0,6,acept,not furnished,4385
São Paulo,273,3,2,5,-,not acept,not furnished,3621
Porto Alegre,47,1,1,0,20,acept,not furnished,1074
São Paulo,260,3,5,3,3,acept,not furnished,9092
Belo Horizonte,45,2,1,1,5,not acept,not furnished,1015
Campinas,110,3,3,2,-,acept,not furnished,3897
São Paulo,127,3,2,2,9,acept,not furnished,6056
São Paulo,600,6,5,5,-,acept,furnished,15520
São Paulo,40,1,1,1,5,acept,not furnished,2153
São Paulo,42,1,1,0,2,acept,not furnished,3366
Porto Alegre,82,3,2,1,6,acept,not furnished,3296
Porto Alegre,55,2,1,0,3,acept,furnished,1517
Belo Horizonte,120,4,3,2,3,acept,not furnished,3294
Rio de Janeiro,36,1,1,0,5,acept,not furnished,1537
Campinas,75,2,1,1,-,acept,not furnished,1177
São Paulo,700,4,7,8,-,acept,furnished,17480
Belo Horizonte,44,1,1,1,15,acept,not furnished,4218
Rio de Janeiro,45,1,1,0,4,not acept,furnished,2725
São Paulo,91,3,3,3,5,not acept,not furnished,4631
São Paulo,110,2,2,2,-,not acept,not furnished,2326
Rio de Janeiro,70,1,1,0,9,not acept,furnished,4297
São Paulo,252,4,5,5,18,acept,furnished,17510
São Paulo,250,2,2,8,-,acept,furnished,5027
São Paulo,170,3,5,3,7,acept,furnished,5186
São Paulo,20,1,1,0,1,acept,furnished,2555
Rio de Janeiro,120,2,3,2,10,acept,not furnished,3380
Campinas,197,3,4,4,8,acept,not furnished,11320
Porto Alegre,47,1,1,1,1,not acept,furnished,2633
São Paulo,368,4,6,6,3,acept,not furnished,14120
Rio de Janeiro,250,4,3,2,6,acept,not furnished,9091
São Paulo,51,2,1,1,9,acept,not furnished,2999
São Paulo,82,2,1,1,5,acept,not furnished,4304
São Paulo,178,3,3,3,8,acept,furnished,11610
Belo Horizonte,96,3,1,1,11,acept,furnished,2959
São Paulo,368,4,5,6,1,not acept,not furnished,15030
São Paulo,124,3,3,2,2,not acept,not furnished,4981
Belo Horizonte,120,4,3,2,5,acept,not furnished,3580
São Paulo,290,4,3,2,1,not acept,furnished,10990
São Paulo,350,4,4,4,-,acept,not furnished,14610
São Paulo,200,4,4,2,-,acept,not furnished,5776
Campinas,70,2,2,1,-,acept,not furnished,1466
São Paulo,167,3,2,1,7,acept,not furnished,13310
São Paulo,142,3,4,3,21,not acept,not furnished,7909
São Paulo,127,4,3,2,4,acept,not furnished,6505
São Paulo,92,2,1,1,11,not acept,not furnished,6947
São Paulo,60,2,2,1,3,acept,furnished,6885
Belo Horizonte,65,2,2,0,-,not acept,not furnished,1061
Rio de Janeiro,450,4,4,2,-,acept,not furnished,15460
São Paulo,200,4,4,2,9,acept,furnished,11640
São Paulo,115,3,2,2,8,acept,not furnished,5237
Belo Horizonte,373,4,5,7,-,acept,not furnished,12210
Porto Alegre,60,2,2,1,4,acept,not furnished,1897
São Paulo,220,4,2,3,-,acept,furnished,5984
São Paulo,120,2,1,1,-,acept,not furnished,2307
Rio de Janeiro,57,2,2,1,4,acept,not furnished,2424
São Paulo,124,3,2,1,4,not acept,furnished,4144
Belo Horizonte,500,7,6,3,-,acept,not furnished,15630
São Paulo,67,2,1,1,7,acept,not furnished,2012
Campinas,650,4,4,8,-,acept,not furnished,7813
São Paulo,120,4,2,3,6,acept,furnished,4407
Porto Alegre,109,3,1,1,5,acept,not furnished,1963
São Paulo,100,3,3,2,11,acept,furnished,5299
São Paulo,70,2,1,1,-,acept,not furnished,1194
Belo Horizonte,160,3,2,2,4,not acept,not furnished,4043
Belo Horizonte,300,3,3,2,-,acept,not furnished,5772
Belo Horizonte,400,7,6,4,-,acept,furnished,7146
Rio de Janeiro,15,1,1,0,11,not acept,furnished,1692
Belo Horizonte,68,2,1,1,3,acept,not furnished,1563
Campinas,60,3,1,1,-,not acept,not furnished,1618
São Paulo,90,3,2,2,6,not acept,not furnished,3035
São Paulo,300,3,2,4,-,acept,not furnished,2991
São Paulo,30,1,1,0,18,not acept,not furnished,1583
São Paulo,39,1,1,1,3,not acept,furnished,3327
Rio de Janeiro,42,1,1,0,8,acept,not furnished,1859
Rio de Janeiro,100,3,1,1,1,acept,not furnished,4989
Porto Alegre,50,2,2,1,4,acept,not furnished,1623
São Paulo,129,3,4,3,6,acept,furnished,4616
São Paulo,220,3,3,2,14,not acept,furnished,8347
São Paulo,50,1,1,0,-,not acept,not furnished,1303
Campinas,120,3,2,3,-,acept,not furnished,2414
Rio de Janeiro,100,3,2,0,7,acept,not furnished,4342
São Paulo,72,3,2,1,3,not acept,not furnished,2566
Campinas,75,2,1,1,-,acept,not furnished,1317
São Paulo,25,1,1,0,1,not acept,not furnished,836
Rio de Janeiro,70,3,3,0,8,not acept,furnished,7390
São Paulo,30,2,1,0,-,acept,not furnished,1528
São Paulo,228,3,4,3,12,not acept,furnished,6511
Campinas,48,2,1,0,2,acept,not furnished,977
Campinas,62,2,1,0,1,acept,not furnished,1020
Belo Horizonte,73,1,1,0,4,acept,not furnished,710
São Paulo,530,4,6,4,11,acept,not furnished,9329
São Paulo,455,4,5,4,5,acept,not furnished,31580
São Paulo,25,1,1,0,-,not acept,furnished,1308
Porto Alegre,50,2,1,0,-,not acept,not furnished,761
São Paulo,75,3,3,2,10,acept,not furnished,3083
São Paulo,38,1,1,0,2,not acept,not furnished,1869
Porto Alegre,125,3,3,1,2,acept,not furnished,3690
São Paulo,132,3,4,3,2,not acept,not furnished,5675
Rio de Janeiro,32,1,1,0,10,acept,not furnished,1871
São Paulo,97,3,2,2,2,acept,not furnished,2756
São Paulo,68,2,1,1,5,acept,not furnished,2288
Porto Alegre,80,3,2,2,2,acept,not furnished,3135
Rio de Janeiro,95,2,1,0,6,acept,not furnished,2667
Porto Alegre,115,1,2,2,7,acept,not furnished,3077
São Paulo,380,3,6,8,-,acept,furnished,9380
São Paulo,55,2,1,0,2,not acept,not furnished,1476
Rio de Janeiro,60,2,1,1,10,acept,furnished,2120
São Paulo,150,3,5,2,14,acept,not furnished,5017
Belo Horizonte,180,4,3,3,10,acept,not furnished,7477
Porto Alegre,440,3,2,3,6,not acept,not furnished,10840
Porto Alegre,90,3,1,0,-,acept,not furnished,1807
Belo Horizonte,268,4,4,3,3,acept,not furnished,3695
Campinas,60,2,1,1,4,acept,not furnished,998
São Paulo,380,4,4,3,-,acept,furnished,7613
Porto Alegre,61,2,2,2,11,acept,not furnished,3024
Rio de Janeiro,57,1,1,1,3,acept,not furnished,2457
Rio de Janeiro,41,1,1,0,9,acept,not furnished,2607
São Paulo,100,3,1,0,1,acept,not furnished,2367
Rio de Janeiro,93,3,1,0,-,acept,not furnished,1990
Campinas,63,2,1,1,1,acept,not furnished,1439
Rio de Janeiro,65,2,1,1,3,acept,not furnished,1915
São Paulo,61,2,2,1,1,acept,not furnished,3041
Campinas,74,3,2,1,4,acept,not furnished,1326
São Paulo,200,3,4,2,-,acept,not furnished,3038
São Paulo,65,2,2,1,9,not acept,not furnished,1777
São Paulo,132,3,5,2,13,not acept,furnished,13050
São Paulo,75,2,1,0,1,not acept,not furnished,1283
São Paulo,110,1,1,1,-,acept,not furnished,1570
São Paulo,71,3,2,1,2,acept,not furnished,3192
Belo Horizonte,80,3,2,0,5,not acept,not furnished,1912
São Paulo,62,2,1,1,7,acept,not furnished,2398
São Paulo,53,2,1,1,1,acept,not furnished,1816
Rio de Janeiro,16,1,1,0,9,acept,furnished,1888
São Paulo,36,1,1,0,3,acept,furnished,3012
São Paulo,100,3,1,2,-,not acept,not furnished,1709
São Paulo,45,2,1,0,-,not acept,not furnished,1585
Rio de Janeiro,45,1,1,1,2,not acept,furnished,2126
São Paulo,156,3,2,1,-,acept,not furnished,6556
São Paulo,356,3,4,4,-,not acept,not furnished,11750
São Paulo,96,2,2,2,23,not acept,furnished,5124
São Paulo,218,4,4,4,3,not acept,not furnished,8935
Porto Alegre,73,3,2,1,1,acept,not furnished,2241
São Paulo,50,1,1,0,-,acept,not furnished,701
São Paulo,200,3,3,3,13,acept,furnished,8237
São Paulo,50,2,1,1,7,not acept,furnished,1828
São Paulo,60,1,1,0,-,acept,not furnished,813
Rio de Janeiro,37,1,1,0,7,acept,not furnished,2711
São Paulo,400,4,3,2,-,acept,not furnished,9538
São Paulo,100,3,2,1,9,acept,furnished,7475
Belo Horizonte,40,1,1,0,3,not acept,not furnished,1626
São Paulo,80,3,1,0,-,acept,not furnished,2497
Porto Alegre,49,1,1,0,7,acept,not furnished,1021
São Paulo,38,1,1,0,19,not acept,not furnished,1642
São Paulo,45,1,1,0,1,not acept,not furnished,1117
Porto Alegre,429,5,4,5,-,acept,not furnished,11020
Belo Horizonte,20,1,1,1,-,acept,furnished,1115
São Paulo,46,2,1,0,8,not acept,not furnished,3280
São Paulo,48,1,1,1,-,acept,not furnished,2026
São Paulo,90,2,2,0,3,not acept,not furnished,2378
Porto Alegre,44,1,1,1,2,acept,not furnished,1218
Rio de Janeiro,100,2,3,0,1,acept,not furnished,1852
Belo Horizonte,60,1,2,1,7,acept,not furnished,4430
Belo Horizonte,266,4,3,2,-,acept,not furnished,7859
Porto Alegre,46,1,1,1,2,acept,not furnished,1056
Campinas,80,1,1,1,7,acept,not furnished,3486
Porto Alegre,80,2,1,1,1,acept,not furnished,850
São Paulo,150,3,4,2,-,acept,not furnished,3088
Porto Alegre,110,2,2,1,3,acept,furnished,2579
São Paulo,185,2,2,2,-,not acept,not furnished,1937
São Paulo,170,3,2,1,14,acept,furnished,6343
São Paulo,77,2,2,1,6,acept,not furnished,4019
São Paulo,88,2,4,2,8,acept,not furnished,3549
Porto Alegre,145,3,4,0,2,acept,furnished,3319
Porto Alegre,78,2,2,1,4,acept,not furnished,3139
Porto Alegre,50,1,1,0,-,acept,not furnished,1065
São Paulo,168,3,2,4,-,not acept,not furnished,4470
Belo Horizonte,80,2,1,0,2,acept,not furnished,1241
São Paulo,57,1,1,0,5,acept,furnished,6394
Porto Alegre,27,1,1,0,2,acept,not furnished,1150
São Paulo,40,1,1,0,2,acept,not furnished,4464
São Paulo,240,3,4,3,3,acept,furnished,9613
Rio de Janeiro,140,3,2,2,4,acept,not furnished,4354
Rio de Janeiro,49,2,1,0,4,acept,not furnished,1788
Campinas,120,2,1,0,3,acept,not furnished,2039
Belo Horizonte,200,5,3,2,-,acept,not furnished,2508
São Paulo,86,3,1,1,5,acept,furnished,3344
Rio de Janeiro,53,2,1,0,3,not acept,not furnished,2409
São Paulo,270,4,4,4,-,acept,not furnished,11760
São Paulo,375,4,5,3,-,acept,furnished,9986
São Paulo,79,2,2,1,2,not acept,not furnished,2323
Rio de Janeiro,110,3,2,1,4,acept,not furnished,4346
São Paulo,215,3,4,4,25,acept,not furnished,6466
São Paulo,27,1,1,1,6,not acept,not furnished,3747
Rio de Janeiro,72,2,1,1,10,acept,not furnished,2236
Porto Alegre,63,2,1,1,5,not acept,furnished,1926
Rio de Janeiro,36,1,1,0,4,acept,not furnished,1752
São Paulo,108,3,2,2,6,acept,not furnished,7146
Belo Horizonte,120,4,3,2,1,acept,not furnished,3294
Rio de Janeiro,45,2,1,1,9,acept,not furnished,2047
Belo Horizonte,55,2,2,1,6,not acept,not furnished,2178
São Paulo,82,2,2,1,2,acept,furnished,3941
Porto Alegre,60,2,1,0,4,acept,not furnished,1101
Belo Horizonte,97,3,3,1,1,not acept,not furnished,1747
São Paulo,60,2,1,0,8,not acept,furnished,2258
São Paulo,350,4,3,2,-,acept,not furnished,14710
Belo Horizonte,420,4,4,2,-,not acept,not furnished,7315
Porto Alegre,40,1,1,1,7,acept,furnished,1857
Rio de Janeiro,75,2,2,0,1,not acept,not furnished,2958
São Paulo,96,2,2,2,5,acept,not furnished,3221
Rio de Janeiro,45,1,1,0,1,acept,not furnished,1294
São Paulo,300,3,3,4,12,acept,not furnished,11800
São Paulo,27,1,1,0,11,acept,not furnished,2611
São Paulo,107,2,4,2,2,not acept,not furnished,13360
São Paulo,678,5,6,4,-,acept,not furnished,18230
São Paulo,320,5,5,3,-,acept,furnished,8708
São Paulo,50,2,2,0,-,not acept,not furnished,1197
Porto Alegre,39,1,1,0,3,acept,not furnished,873
Rio de Janeiro,30,1,1,0,8,acept,furnished,2571
São Paulo,129,3,3,1,1,acept,not furnished,3508
Belo Horizonte,500,8,5,8,-,acept,not furnished,5232
Rio de Janeiro,140,2,3,2,7,acept,not furnished,9651
São Paulo,42,1,1,0,9,acept,furnished,2994
São Paulo,80,2,1,0,-,acept,not furnished,1513
Belo Horizonte,107,3,2,2,2,acept,furnished,3201
Rio de Janeiro,138,2,1,0,3,acept,not furnished,1998
São Paulo,120,3,2,1,-,acept,not furnished,1962
São Paulo,420,4,3,4,-,acept,not furnished,16480
São Paulo,47,1,1,0,2,acept,not furnished,1773
Rio de Janeiro,690,4,5,2,21,not acept,not furnished,15720
Belo Horizonte,52,2,2,1,2,not acept,not furnished,2118
São Paulo,120,4,2,2,11,acept,not furnished,6145
São Paulo,100,3,2,0,7,acept,not furnished,2928
Belo Horizonte,350,5,4,4,-,acept,not furnished,16570
São Paulo,36,1,1,1,15,not acept,furnished,2945
São Paulo,135,2,2,1,12,acept,not furnished,10470
São Paulo,22,1,1,0,25,acept,not furnished,2552
Belo Horizonte,1000,3,4,2,-,acept,not furnished,5447
São Paulo,49,2,2,1,9,acept,not furnished,2079
São Paulo,169,4,4,4,9,acept,not furnished,9472
São Paulo,360,5,4,0,7,not acept,not furnished,9923
São Paulo,40,1,1,0,9,acept,not furnished,1646
São Paulo,103,3,2,1,2,acept,not furnished,2776
São Paulo,156,3,4,3,4,acept,not furnished,11430
São Paulo,33,1,1,0,3,acept,not furnished,2021
São Paulo,155,3,3,2,-,acept,not furnished,2923
São Paulo,140,3,4,2,11,acept,furnished,14520
São Paulo,51,1,1,0,9,acept,not furnished,2173
São Paulo,125,3,2,0,2,not acept,not furnished,4781
Rio de Janeiro,220,4,2,1,7,acept,furnished,7427
Campinas,70,1,1,0,6,acept,not furnished,1341
Campinas,46,2,1,1,3,acept,not furnished,1275
Rio de Janeiro,130,4,2,1,2,not acept,furnished,4188
São Paulo,146,3,4,3,20,acept,furnished,12330
Porto Alegre,230,3,4,3,-,acept,furnished,12900
São Paulo,62,2,1,1,1,acept,not furnished,2343
Belo Horizonte,310,4,4,3,1,not acept,not furnished,3741
São Paulo,80,1,1,0,11,acept,furnished,2352
Rio de Janeiro,125,3,1,2,3,not acept,not furnished,3388
Belo Horizonte,59,2,2,1,2,acept,not furnished,1364
São Paulo,400,4,6,1,8,not acept,not furnished,10060
Rio de Janeiro,139,2,2,1,10,acept,furnished,2551
São Paulo,55,1,1,0,3,not acept,furnished,2268
São Paulo,50,1,1,1,-,acept,not furnished,973
São Paulo,102,3,3,0,7,acept,not furnished,5249
Belo Horizonte,75,3,1,1,4,not acept,not furnished,1641
Rio de Janeiro,58,2,1,0,2,not acept,furnished,4752
Campinas,110,2,1,1,2,acept,not furnished,1175
São Paulo,210,3,4,4,2,not acept,not furnished,9071
São Paulo,32,1,1,0,-,not acept,not furnished,1850
São Paulo,50,2,1,1,1,not acept,not furnished,3474
São Paulo,400,3,5,4,20,acept,furnished,14880
São Paulo,200,4,2,2,-,acept,not furnished,6138
Rio de Janeiro,60,2,2,0,13,acept,not furnished,3489
Rio de Janeiro,68,2,1,0,5,acept,not furnished,2006
Rio de Janeiro,66,2,1,1,9,acept,not furnished,3607
Porto Alegre,440,3,2,3,5,not acept,not furnished,10840
São Paulo,30,1,1,0,-,not acept,not furnished,1013
Belo Horizonte,384,5,4,6,-,not acept,not furnished,5517
Porto Alegre,98,2,2,0,2,not acept,not furnished,2169
Porto Alegre,30,1,1,0,-,not acept,not furnished,509
São Paulo,360,4,4,2,4,acept,not furnished,14530
São Paulo,350,5,5,4,-,acept,not furnished,3513
São Paulo,64,3,1,1,5,acept,not furnished,2077
Campinas,38,1,1,1,9,acept,not furnished,1280
São Paulo,45,2,1,1,14,acept,not furnished,1446
Belo Horizonte,80,3,2,1,1,acept,not furnished,1593
Porto Alegre,38,1,1,0,4,acept,furnished,2037
Porto Alegre,122,3,3,2,2,acept,not furnished,3286
São Paulo,120,2,3,0,-,acept,not furnished,7556
São Paulo,178,2,3,4,1,not acept,not furnished,6580
Rio de Janeiro,250,5,3,4,-,acept,not furnished,5494
São Paulo,50,1,2,0,-,acept,not furnished,964
São Paulo,30,1,1,0,4,acept,not furnished,1407
São Paulo,140,3,3,2,-,acept,not furnished,5376
São Paulo,45,2,2,0,-,not acept,not furnished,1759
São Paulo,400,4,6,4,-,acept,not furnished,17100
São Paulo,505,3,5,0,12,not acept,not furnished,16050
São Paulo,550,4,6,4,1,acept,furnished,19300
Porto Alegre,68,2,1,0,3,acept,not furnished,1000
São Paulo,180,3,4,4,-,acept,furnished,4773
São Paulo,20,1,1,0,4,acept,furnished,2555
Campinas,55,1,1,1,7,acept,not furnished,1234
São Paulo,200,3,3,4,-,acept,not furnished,7531
São Paulo,120,4,3,2,8,acept,not furnished,4582
São Paulo,120,3,2,2,-,acept,not furnished,3858
São Paulo,137,3,3,1,9,acept,furnished,7120
São Paulo,30,1,1,0,-,acept,not furnished,1034
Belo Horizonte,66,2,2,1,6,acept,not furnished,2922
Rio de Janeiro,62,2,1,0,3,acept,not furnished,2018
São Paulo,44,1,1,0,10,acept,not furnished,3003
Porto Alegre,240,5,4,4,-,acept,not furnished,5429
São Paulo,310,2,6,3,11,not acept,not furnished,9141
São Paulo,164,4,4,3,1,acept,not furnished,8467
São Paulo,80,2,2,1,9,acept,furnished,4221
Rio de Janeiro,72,2,2,1,5,acept,not furnished,1721
Belo Horizonte,212,4,2,1,5,acept,furnished,3742
Belo Horizonte,285,4,4,2,-,acept,not furnished,3250
Rio de Janeiro,312,4,4,3,13,acept,not furnished,20280
Rio de Janeiro,90,3,2,1,17,acept,not furnished,1943
Belo Horizonte,66,2,1,1,13,acept,not furnished,969
Belo Horizonte,280,4,7,4,6,not acept,not furnished,4032
Rio de Janeiro,110,3,1,0,1,acept,not furnished,3055
Porto Alegre,50,2,1,1,4,acept,not furnished,1850
Porto Alegre,120,3,3,0,7,acept,furnished,9020
São Paulo,55,2,1,1,7,not acept,not furnished,4464
São Paulo,60,3,1,1,4,acept,not furnished,1999
Rio de Janeiro,30,1,1,0,11,acept,not furnished,1737
Campinas,50,1,1,1,11,acept,not furnished,2112
Belo Horizonte,230,3,4,4,17,acept,furnished,16740
Campinas,82,3,2,1,6,acept,not furnished,2487
Campinas,65,1,1,1,9,acept,not furnished,1679
São Paulo,49,1,1,1,4,not acept,not furnished,3699
Porto Alegre,61,2,1,1,2,acept,not furnished,1985
São Paulo,58,2,2,1,3,acept,not furnished,2980
São Paulo,113,2,2,1,4,acept,not furnished,4089
São Paulo,150,3,5,3,-,acept,furnished,4757
Belo Horizonte,260,4,3,4,-,not acept,not furnished,5054
Porto Alegre,75,2,2,0,9,not acept,not furnished,1856
São Paulo,230,3,4,3,2,acept,not furnished,16010
São Paulo,220,3,4,4,15,acept,not furnished,6602
Rio de Janeiro,118,3,2,0,4,not acept,not furnished,4405
Belo Horizonte,210,4,4,2,1,not acept,not furnished,6039
São Paulo,170,4,3,2,15,not acept,furnished,13900
Belo Horizonte,105,3,2,2,2,not acept,not furnished,5415
São Paulo,80,2,2,1,2,acept,not furnished,1956
Belo Horizonte,45,1,1,0,9,acept,not furnished,1455
São Paulo,40,1,1,0,-,not acept,not furnished,809
Rio de Janeiro,56,2,2,0,1,not acept,furnished,3227
Belo Horizonte,23,1,1,0,1,not acept,furnished,1137
São Paulo,165,3,2,2,8,acept,furnished,9112
São Paulo,35,1,1,0,18,acept,not furnished,2124
São Paulo,70,1,1,0,-,not acept,not furnished,914
São Paulo,131,3,2,2,1,acept,not furnished,3920
São Paulo,40,1,1,0,-,not acept,not furnished,1111
São Paulo,237,4,4,0,13,not acept,not furnished,12300
São Paulo,60,1,1,0,2,acept,not furnished,1336
Rio de Janeiro,126,2,2,1,2,acept,not furnished,5807
São Paulo,76,3,2,0,4,acept,not furnished,2455
São Paulo,320,3,3,8,-,acept,not furnished,6155
São Paulo,40,1,1,1,12,acept,furnished,2284
Campinas,157,3,2,2,15,acept,not furnished,3726
Porto Alegre,94,1,1,1,2,acept,not furnished,5821
Porto Alegre,91,3,2,2,3,acept,not furnished,3990
São Paulo,580,6,6,6,-,acept,not furnished,9149
São Paulo,230,5,5,3,-,acept,not furnished,10670
São Paulo,190,2,2,4,-,acept,not furnished,4264
Campinas,411,4,5,4,-,acept,not furnished,6250
São Paulo,440,4,3,7,-,not acept,not furnished,16310
São Paulo,300,4,4,3,-,acept,not furnished,16920
São Paulo,98,2,2,1,13,acept,not furnished,3633
São Paulo,49,2,1,1,11,acept,not furnished,2379
Campinas,78,2,1,1,8,acept,not furnished,2028
São Paulo,40,1,1,1,4,not acept,furnished,5868
Rio de Janeiro,30,1,1,0,19,acept,not furnished,2067
São Paulo,56,2,1,1,11,acept,furnished,3062
Belo Horizonte,70,3,1,1,3,acept,not furnished,1453
Rio de Janeiro,70,2,1,1,6,acept,not furnished,2947
São Paulo,140,2,4,1,11,acept,not furnished,11510
Campinas,55,2,1,1,-,acept,not furnished,1306
Porto Alegre,98,2,2,0,2,acept,not furnished,1465
Belo Horizonte,33,1,1,1,3,acept,not furnished,1801
São Paulo,260,4,2,3,-,acept,not furnished,4338
São Paulo,58,2,1,1,3,acept,furnished,1946
Rio de Janeiro,84,2,2,1,2,not acept,furnished,3961
São Paulo,255,3,4,4,9,acept,furnished,6839
Rio de Janeiro,90,2,1,0,3,acept,not furnished,4709
São Paulo,524,4,5,3,-,acept,furnished,12380
Porto Alegre,96,3,2,0,2,acept,not furnished,2623
Belo Horizonte,100,3,1,0,13,not acept,not furnished,1947
São Paulo,90,2,1,2,-,acept,not furnished,1728
Rio de Janeiro,32,1,1,0,4,acept,not furnished,3804
São Paulo,82,2,1,2,10,acept,furnished,5493
São Paulo,330,4,5,4,-,acept,not furnished,4335
São Paulo,125,3,2,1,9,acept,not furnished,5914
São Paulo,75,2,1,0,5,acept,furnished,4551
São Paulo,128,4,5,1,-,acept,not furnished,6958
Rio de Janeiro,170,3,4,3,3,acept,not furnished,7822
São Paulo,113,3,2,2,-,acept,not furnished,3057
São Paulo,80,1,1,1,-,not acept,not furnished,1404
São Paulo,154,3,3,2,12,acept,furnished,3068
Belo Horizonte,330,5,7,5,10,acept,not furnished,6867
São Paulo,300,3,2,2,-,acept,not furnished,4676
São Paulo,34,1,1,0,12,acept,furnished,3077
São Paulo,64,2,1,0,8,acept,not furnished,2221
Rio de Janeiro,39,1,1,0,4,acept,not furnished,1111
Belo Horizonte,140,4,3,3,4,acept,not furnished,4896
São Paulo,20,1,1,0,9,acept,furnished,2165
Porto Alegre,43,1,1,2,3,acept,furnished,3112
São Paulo,390,4,5,4,-,acept,furnished,12460
Rio de Janeiro,130,3,2,1,9,acept,furnished,11460
Rio de Janeiro,30,1,1,0,4,not acept,not furnished,2159
Campinas,64,1,2,1,11,not acept,not furnished,2558
São Paulo,82,2,1,1,5,acept,not furnished,4423
São Paulo,57,2,2,2,6,acept,not furnished,2674
Belo Horizonte,300,4,3,2,10,acept,furnished,6574
São Paulo,26,1,1,0,4,acept,furnished,4815
São Paulo,300,3,5,4,-,acept,not furnished,4892
